,Count,Interface ID,Encap Type,Time,Time Epoch,Time Delta,Time Delta Displayed,Time Relative,Number,Len,Cap Len,Marked,Ignored,Protocols
71,71,0,23,"Apr 13, 2017 15:56:37.885387000 Pacific Daylight Time",1492124197.885387000,0.000284000,0.105687000,7.376403000,5031,259,259,0,0,radiotap:wlan_radio:wlan
72,72,0,23,"Apr 13, 2017 15:56:37.989589000 Pacific Daylight Time",1492124197.989589000,0.000290000,0.104202000,7.480605000,5110,259,259,0,0,radiotap:wlan_radio:wlan
73,73,0,23,"Apr 13, 2017 15:56:38.086894000 Pacific Daylight Time",1492124198.086894000,0.058201000,0.097305000,7.577910000,5124,259,259,0,0,radiotap:wlan_radio:wlan
74,74,0,23,"Apr 13, 2017 15:56:38.189590000 Pacific Daylight Time",1492124198.189590000,0.000288000,0.102696000,7.680606000,5172,259,259,0,0,radiotap:wlan_radio:wlan
75,75,0,23,"Apr 13, 2017 15:56:38.291686000 Pacific Daylight Time",1492124198.291686000,0.050394000,0.102096000,7.782702000,5222,259,259,0,0,radiotap:wlan_radio:wlan
76,76,0,23,"Apr 13, 2017 15:56:38.396412000 Pacific Daylight Time",1492124198.396412000,0.005748000,0.104726000,7.887428000,5270,259,259,0,0,radiotap:wlan_radio:wlan
77,77,0,23,"Apr 13, 2017 15:56:38.498865000 Pacific Daylight Time",1492124198.498865000,0.000283000,0.102453000,7.989881000,5350,259,259,0,0,radiotap:wlan_radio:wlan
78,78,0,23,"Apr 13, 2017 15:56:38.604296000 Pacific Daylight Time",1492124198.604296000,0.005753000,0.105431000,8.095312000,5421,259,259,0,0,radiotap:wlan_radio:wlan
79,79,0,23,"Apr 13, 2017 15:56:38.703791000 Pacific Daylight Time",1492124198.703791000,0.005578000,0.099495000,8.194807000,5501,259,259,0,0,radiotap:wlan_radio:wlan
80,80,0,23,"Apr 13, 2017 15:56:38.811292000 Pacific Daylight Time",1492124198.811292000,0.000235000,0.107501000,8.302308000,5574,259,259,0,0,radiotap:wlan_radio:wlan
81,81,0,23,"Apr 13, 2017 15:56:38.916199000 Pacific Daylight Time",1492124198.916199000,0.000305000,0.104907000,8.407215000,5661,259,259,0,0,radiotap:wlan_radio:wlan
82,82,0,23,"Apr 13, 2017 15:56:39.020965000 Pacific Daylight Time",1492124199.020965000,0.000264000,0.104766000,8.511981000,5729,259,259,0,0,radiotap:wlan_radio:wlan
83,83,0,23,"Apr 13, 2017 15:56:39.110761000 Pacific Daylight Time",1492124199.110761000,0.000334000,0.089796000,8.601777000,5853,259,259,0,0,radiotap:wlan_radio:wlan
84,84,0,23,"Apr 13, 2017 15:56:39.224138000 Pacific Daylight Time",1492124199.224138000,0.000284000,0.113377000,8.715154000,5944,259,259,0,0,radiotap:wlan_radio:wlan
85,85,0,23,"Apr 13, 2017 15:56:39.326925000 Pacific Daylight Time",1492124199.326925000,0.000286000,0.102787000,8.817941000,6013,259,259,0,0,radiotap:wlan_radio:wlan
86,86,0,23,"Apr 13, 2017 15:56:39.418030000 Pacific Daylight Time",1492124199.418030000,0.000225000,0.091105000,8.909046000,6091,259,259,0,0,radiotap:wlan_radio:wlan
87,87,0,23,"Apr 13, 2017 15:56:39.520386000 Pacific Daylight Time",1492124199.520386000,0.029278000,0.102356000,9.011402000,6248,259,259,0,0,radiotap:wlan_radio:wlan
